WHO_Region,TotalCases,TotalDeaths
"Americas",44196430,1713660
"Europe",16497615,1055720
"South-East Asia",9176485,206745
"Eastern Mediterranean",7453720,191695
"Africa",3616035,61115
"Western Pacific",1462140,41245
